timestamp,temperatura,pressao,altitude
0,24.63,1025.98,100.0
1,22.35,1035.71,98.34
2,20.94,1033.06,97.76
4,18.43,991.66,94.6
5,21.93,1011.4,93.92
6,19.86,950.58,92.82
7,22.68,1015.96,92.21
8,17.5,1035.3,90.67
9,19.56,990.04,90.04
10,16.3,977.27,89.47
11,16.86,963.72,88.42
12,21.02,953.94,87.1
13,21.06,1004.64,86.39
14,20.73,1048.16,85.34
15,19.18,1028.32,83.54
16,16.36,1035.6,81.72
17,23.38,1020.25,80.18
18,23.11,1004.97,79.42
19,22.93,996.43,78.46
20,19.45,1033.1,77.38
21,20.3,950.27,75.84
22,24.78,967.31,75.14
23,23.58,959.43,74.23
24,15.43,988.8,72.37
25,16.65,966.22,71.38
26,23.51,1016.87,70.09
27,20.88,1021.79,68.31
28,20.07,972.99,67.74
29,24.82,958.4,66.26
30,22.77,1029.9,65.21
31,18.49,1025.33,64.29
32,16.69,1022.72,62.38
33,20.37,1013.14,61.2
34,17.99,1038.86,60.53
35,16.6,970.62,59.43
36,21.21,1046.95,58.9
38,19.32,977.81,57.32
39,18.14,1005.9,56.06
40,16.06,1007.5,54.88
41,17.32,1049.81,53.33
42,17.53,1034.03,51.7
43,21.17,988.26,50.86
44,18.98,953.75,49.48
45,21.75,1011.0,48.67
46,22.86,1027.77,47.29
47,21.05,1042.49,45.38
48,22.47,963.08,44.41
49,17.91,1037.28,42.75
50,21.51,965.77,40.83
51,23.58,986.05,39.1
52,16.84,970.15,38.14
53,23.77,967.37,36.43
54,22.51,988.23,35.39
55,19.14,1049.92,34.02
56,16.44,1018.67,33.31
57,24.47,1028.4,31.68
