timestamp,temperatura,pressao,altitude
0,23.02,1012.86,99.04
1,22.72,1018.09,96.99
2,22.22,1013.0,94.34
3,23.06,1014.79,91.2
4,21.02,1016.44,87.03
5,20.71,1008.89,85.5
6,23.39,1009.63,82.75
7,20.78,1011.61,78.05
8,20.86,1008.44,75.39
9,22.03,1011.49,72.39
10,21.33,1014.31,70.4
11,21.31,1011.87,66.04
12,23.83,1010.99,63.58
13,20.12,1010.96,61.36
14,21.48,1013.24,58.24
15,20.6,1010.09,55.94
16,20.49,1010.54,52.49
17,22.67,1017.2,48.87
18,20.54,1008.28,45.65
19,20.62,1012.34,42.67
20,23.78,1010.19,40.86
21,23.09,1010.31,37.51
22,20.74,1013.17,33.59
23,23.37,1017.87,30.19
24,21.33,1017.06,27.3
25,20.73,1013.63,24.82
26,22.26,1010.76,21.74
27,20.87,1011.52,18.03
28,21.32,1009.11,16.51
29,21.44,1013.25,13.31
